Font	style	Size	color	style	Effects
NSimSun	Italic	8	Black	None	Strikethrough
Nyala	Regular	8	Black	None	Strikethrough
Nyala	Italic	8	Black	None	Strikethrough
MT	Bold	8	Black	None	Strikethrough
Old	Bold	8	Black	None	Strikethrough
Palatino	Bold	8	Black	None	Strikethrough
Old	Regular	8	Black	None	Strikethrough
Text	Bold	8	Black	None	Strikethrough
Onyx	Italic	8	Black	None	Strikethrough
Palatino	Italic	8	Black	None	Strikethrough
Nyala	Bold	8	Black	None	Strikethrough
MT	Italic	8	Black	None	Strikethrough
Onyx	Italic	8	Black	None	Strikethrough
English	Italic	8	Black	None	Strikethrough
Old	Italic	8	Black	None	Strikethrough
MT	Italic	8	Black	None	Strikethrough
Nyala	Italic	8	Black	None	Strikethrough
Linotype	Italic	8	Black	None	Strikethrough
NSimSun	Bold	8	Black	None	Strikethrough
Palatino	Bold	8	Black	None	Strikethrough
Linotype	Regular	8	Black	None	Strikethrough
NSimSun	Bold	8	Black	None	Strikethrough
Linotype	Bold	8	Black	None	Strikethrough
NSimSun	Regular	8	Black	None	Strikethrough
English	Bold	8	Black	None	Strikethrough
MT	Bold	8	Black	None	Strikethrough
Linotype	Bold	8	Black	None	Strikethrough
Nyala	Bold	8	Black	None	Strikethrough
English	Bold	8	Black	None	Strikethrough
Text	Italic	8	Black	None	Strikethrough
Onyx	Bold	8	Black	None	Strikethrough
Onyx	Regular	8	Black	None	Strikethrough
English	Regular	8	Black	None	Strikethrough
Text	Bold	8	Black	None	Strikethrough
Text	Italic	8	Black	None	Strikethrough
Onyx	Bold	8	Black	None	Strikethrough
Text	Regular	8	Black	None	Strikethrough
Linotype	Italic	8	Black	None	Strikethrough
Old	Bold	8	Black	None	Strikethrough
NSimSun	Italic	8	Black	None	Strikethrough
English	Italic	8	Black	None	Strikethrough
Palatino	Italic	8	Black	None	Strikethrough
MT	Regular	8	Black	None	Strikethrough
Old	Italic	8	Black	None	Strikethrough
Palatino	Regular	8	Black	None	Strikethrough
